year,stage,team,week,rank,games,points,goal_difference,goals_for,goals_against,maybeChampion,mayPromote,mayDemote
2012,1,sendai,12,2,1,3,1,1,0,0,0,0
2012,1,nagoya,12,3,1,3,1,1,0,0,0,0
2012,1,g_osaka,12,13,1,0,-1,2,3,0,0,0
2012,1,hiroshima,12,4,1,3,1,1,0,0,0,0
2012,1,sapporo,12,9,1,1,0,0,0,0,0,0
2012,1,tosu,12,10,1,1,0,0,0,0,0,0
2012,1,kawasaki,12,5,1,3,1,1,0,0,0,0
2012,1,omiya,12,14,1,0,-1,0,1,0,0,0
2012,1,kashiwa,12,7,1,1,0,3,3,0,0,0
2012,1,kashima,12,15,1,0,-1,0,1,0,0,0
2012,1,urawa,12,16,1,0,-1,0,1,0,0,0
2012,1,yokohama_fm,12,8,1,1,0,3,3,0,0,0
2012,1,niigata,12,17,1,0,-1,0,1,0,0,0
2012,1,c_osaka,12,11,1,1,0,0,0,0,0,0
2012,1,shimizu,12,18,1,0,-1,0,1,0,0,0
2012,1,iwata,12,12,1,1,0,0,0,0,0,0
2012,1,kobe,12,1,1,3,1,3,2,0,0,0
2012,1,fc_tokyo,12,6,1,3,1,1,0,0,0,0
2012,1,sendai,13,1,2,6,3,3,0,0,0,0
2012,1,nagoya,13,7,2,3,0,3,3,0,0,0
2012,1,g_osaka,13,16,2,0,-2,3,5,0,0,0
2012,1,hiroshima,13,8,2,3,0,2,2,0,0,0
2012,1,sapporo,13,13,2,1,-1,1,2,0,0,0
2012,1,tosu,13,14,2,1,-1,1,2,0,0,0
2012,1,kawasaki,13,4,2,6,2,2,0,0,0,0
2012,1,omiya,13,9,2,3,0,2,2,0,0,0
2012,1,kashiwa,13,12,2,1,-1,3,4,0,0,0
2012,1,kashima,13,18,2,0,-2,0,2,0,0,0
2012,1,urawa,13,11,2,3,0,1,1,0,0,0
2012,1,yokohama_fm,13,15,2,1,-2,3,5,0,0,0
2012,1,niigata,13,17,2,0,-2,1,3,0,0,0
2012,1,c_osaka,13,5,2,4,1,2,1,0,0,0
2012,1,shimizu,13,10,2,3,0,2,2,0,0,0
2012,1,iwata,13,6,2,4,1,2,1,0,0,0
2012,1,kobe,13,2,2,6,2,5,3,0,0,0
2012,1,fc_tokyo,13,3,2,6,2,4,2,0,0,0
2012,1,sendai,14,1,3,9,6,7,1,0,0,0
2012,1,nagoya,14,6,3,6,1,5,4,0,0,0
2012,1,g_osaka,14,16,3,0,-3,4,7,0,0,0
2012,1,hiroshima,14,5,3,6,2,4,2,0,0,0
2012,1,sapporo,14,14,3,1,-2,2,4,0,0,0
2012,1,tosu,14,11,3,4,0,2,2,0,0,0
2012,1,kawasaki,14,8,3,6,1,2,1,0,0,0
2012,1,omiya,14,13,3,3,-3,3,6,0,0,0
2012,1,kashiwa,14,10,3,4,0,5,5,0,0,0
2012,1,kashima,14,18,3,0,-4,0,4,0,0,0
2012,1,urawa,14,7,3,6,1,3,2,0,0,0
2012,1,yokohama_fm,14,15,3,1,-3,3,6,0,0,0
2012,1,niigata,14,17,3,0,-3,2,5,0,0,0
2012,1,c_osaka,14,4,3,7,2,3,1,0,0,0
2012,1,shimizu,14,12,3,3,-1,3,4,0,0,0
2012,1,iwata,14,3,3,7,2,4,2,0,0,0
2012,1,kobe,14,9,3,6,0,5,5,0,0,0
2012,1,fc_tokyo,14,2,3,9,4,6,2,0,0,0
2012,1,sendai,15,1,4,12,7,9,2,0,0,0
2012,1,nagoya,15,6,4,7,1,6,5,0,0,0
2012,1,g_osaka,15,15,4,1,-3,5,8,0,0,0
2012,1,hiroshima,15,4,4,9,3,5,2,0,0,0
2012,1,sapporo,15,17,4,1,-3,2,5,0,0,0
2012,1,tosu,15,5,4,7,3,5,2,0,0,0
2012,1,kawasaki,15,9,4,7,1,3,2,0,0,0
2012,1,omiya,15,13,4,4,-3,4,7,0,0,0
2012,1,kashiwa,15,12,4,4,-1,5,6,0,0,0
2012,1,kashima,15,18,4,1,-4,0,4,0,0,0
2012,1,urawa,15,7,4,7,1,4,3,0,0,0
2012,1,yokohama_fm,15,14,4,2,-3,3,6,0,0,0
2012,1,niigata,15,16,4,1,-3,3,6,0,0,0
2012,1,c_osaka,15,8,4,7,1,4,3,0,0,0
2012,1,shimizu,15,10,4,6,0,4,4,0,0,0
2012,1,iwata,15,2,4,10,3,5,2,0,0,0
2012,1,kobe,15,11,4,6,-3,5,8,0,0,0
2012,1,fc_tokyo,15,3,4,9,3,6,3,0,0,0
2012,1,sendai,16,1,5,13,7,11,4,0,0,0
2012,1,nagoya,16,7,5,10,2,7,5,0,0,0
2012,1,g_osaka,16,17,5,1,-6,6,12,0,0,0
2012,1,hiroshima,16,2,5,12,6,9,3,0,0,0
2012,1,sapporo,16,16,5,1,-5,2,7,0,0,0
2012,1,tosu,16,9,5,7,2,5,3,0,0,0
2012,1,kawasaki,16,11,5,7,0,3,3,0,0,0
2012,1,omiya,16,13,5,4,-6,4,10,0,0,0
2012,1,kashiwa,16,10,5,7,1,7,6,0,0,0
2012,1,kashima,16,18,5,1,-6,1,7,0,0,0
2012,1,urawa,16,6,5,10,3,7,4,0,0,0
2012,1,yokohama_fm,16,14,5,3,-3,3,6,0,0,0
2012,1,niigata,16,15,5,2,-3,3,6,0,0,0
2012,1,c_osaka,16,5,5,10,4,7,3,0,0,0
2012,1,shimizu,16,8,5,9,1,5,4,0,0,0
2012,1,iwata,16,4,5,11,3,7,4,0,0,0
2012,1,kobe,16,12,5,6,-4,5,9,0,0,0
